Song,Artist,Scene Description
No Such Thing As Time,Elenowen,Chris interogates Chase about his one night stand at the bar in front of Tara; Haley talks to Julian at the cafe.
Bring You Home,Peter Bradley Adams,"Julian, Chase, Clay & Mouth talk about their problems with each other at the bar; Haley & Jamie talk in his room."
Clouds and a Bee,Goddamn Electric Bill,Julian arrives back home & sees Brooke with Davis and tries to apologize to her; Clay & Quinn fight.
Carry Me,Justine Bennett,End of the episode: Chase & Tara talk; Clay & Quinn talk before her gets admitted; Haley & Dan talk before Nathan returns; Julian & Brooke talk in the car; Haley tries to call Nathan.
Lioness,Calhoun,Julian goes to get get his car from the repair shop only to break the window again; Dan & Clay fight at the beach.
Monday Morning,Death Cab for Cutie,Brooke & Haley go to the Tree Hill Cafe to ask them to take their sign down; Chase talks to Chris about his one night stand only to find out she's Chris' girlfriend.
St. Christopher (On My Way),Michael Logen,Beginning of the episode: Brooke & Julian are at the the hospital; Quinn looks for Clay; Haley sees the rival cafe's sign; Jamie & Dan roast marshmallows.
Trouble,One Two,Chase wakes up and sees Tara after sleeping together; Skills returns.
Midnight Starlight,Jason Walker,Quinn & Dan talk while Jamie plays in the pool; Chris talks to Chase at the bar; Julian visits Brooke at the café.
Where I Can't Follow,Amy Kuney,Beginning of the episode: Haley tries calling Nathan & talks to Dan; Brooke talks to Julian; Chase & Tara get woken up by Chuck.
Litost,Ambassadors,Clay finds out he has Fugue disorder; Julian gets the twins ready in the car & tries to prepare himself; Quinn & Haley talk about Nathan.
I Can See the Light,Right The Stars,Chase & Chuck visit Chris at the studio before Tara arrives.
Thorn Castles,Gardens & Villa,Brooke serves Millie at the café when Tara tries to make ammends.
Greenleaf,Generationals,Millie tries to teach Brooke how to make a latte while they talk about Mouth & Tara.
Free My Mind,Katie Herzig,Brooke and Millie confront Tara for bringing them roaches hidden in a plant to Karen's Cafe.
Mothers,S. Carey,Chase & Chuck wait to meet Chuck's dad; Julian finds a note about the incident on his car; Quinn & Clay talk while playing with Lydia & Jamie.
"No Light, No Light",Florence + the Machine,End of the episode: Brooke reads the note Julian found & finds out it's from Tara; Julian picks a fight at the bar & gets beaten up; Brooke trashes Tara's café; Haley confronts Dan & calls the cops.
Black Eyes,Radical Face,Beginning of the episode: Millie & Mouth are doing their morning show while Brooke watches on tv; Brooke sees Julian's black eye; Haley questions where Nathan is; Dan is getting interrogated.
We Are the Tide,Blind Pilot,Chase & Tara wake up after their one night stand; Chris arrives at the loft when Tara is in the shower; Clay & Logan are talking while they read X-Men comic books.
Run,Elenowen,Chris & Chase are in Karen's café talking about Chuck's dad & Alex; Clay is talking with his therapist/psychologist about his condition; Brooke & Millie are talking about Nathan's disappearance in the café & how to attract more customers again by having live music again; Quinn talks to Jamie by the pool about Nathan's disappearance while he watches a video of him.
My Demons Are Organized,Cameron McGill & What Army,Brooke walks into Karen's café only to see it empty; Tara comes to the café to talk to Brooke; Dan tries to tell Haley that he has nothing to do with Nathan's disappearance.
Too Little Too Late,Paul McLinden,Julian is throwing a ball against the wall in his studio space when Dan arrives to talk to him about renting out the studio; Brooke gets to Haley's house to learn that Nathan's missing.
Restless,Switchfoot,Clay is reading an X-Men comic when Mouth comes and visits him at Rehab to tell him that Nate's missing; Quinn talks to Haley about the current status of the investigation & Dan; Julian walks into a trailer to talk to Dan about looking for Nate and how Julian picked a fight at the bar; Clay leaves the rehab center without answering Logan's question.
Prince of Nothing Charming,Tyler Hilton,Clay & Quinn are talking to the therapist after Quinn finds him; Chris is performing live for a crowd at Karen's café while Brooke films him on his phone & is talking to Millie; Tara walks in to confront Chris for helping her competition.
Bunz Of Steel,Extreme Music,Chris is talking with a stripper at the strip bar about what Chase & Tara did behind his back while Chase sits beside him & pays for the stripper.
After Thought,Company of Thieves,"Julian & Dan arrive to look at a house; Haley & Jamie are talking on his bed about Nate and finding him; Julian & Dan see the investor who was blackmailing him is on his death bed; Nathan is trying to negotiate with his captors while he is held at gunpoint before 2 of them leave to go ""talk"" outside only to hear gunshots."
Hear the Bells,Vanessa Carlton,Brooke counting the money that she earned at the café; Tara walks in looking for Chase and Chris. Mouth works on his laptop and gets tempted to eat the pizza.
Hourglass,Drew Holcomb & The Neighbors,End montage.
Joey,The Horrible Crowes,Beginning. One of Nate's captors tries to get him to talk. Jamie talks to Haley about Nate's disappearance; Officer Stevens arrives at her house.
Graveyard,Feist,"Brooke tells Julian she wants to accept Xavier's request to see her. Clay talks to his therapist. Jaime, Quinn, Jaime and Lydia all go to greet Lucas."
Don't You Worry,The Dimes,Chase finds out he's being drafted to the air force and finds Pauline coming out of his bathroom; Chris under his blanket and another stripper beside Chris.
Under Streetlights,Brooke Annibale,"Clay talks to his therapist about signing Nathan & Nathan's family, Sara & protecting everyone; Lucas & Haley talk about Nathan's disappearance."
Sabotage,Amy Stroup,Jamie looks for a video of Nate in his bag & Quinn reassures him that they will find Nathan & the video.
Take Your Time,Cary Brothers,Chase tells Chuck that he's returning to the Air Force; Lucas & Haley continue to talk about Nathan & the kids.
(Not So) Sad and Lonely,DJ Shadow,Julian sends the Nathan video to Jamie. Julian finds Dan cooking in the warehouse. Dan and Haley watch the video. Clay and Dr. Alvarez talk about kids.
Islands,Hey Ocean!,"Xavier apologizes to Brooke. Brooke speaks during his hearing. Chase sees Chuck's dad at the bar with a girl; he goes to ""confront"" Chuck."
The Streets,Avalanche City,Haley says goodbye to Lydia and Jamie at the airport. Dan watches the video of Nathan.
Lordy May,Boy & Bear,Brooke talks to Julian while they're driving home. Chase asks Chuck if he wants to hang out with him and Chris. Chase finds a bruise on Chuck's rib cage and suspects he's getting abused by his dad.
If I Had a Gun...,Noel Gallagher's High Flying Birds,End montage.
Flicker,Rosi Golan,Quinn & David talk about Nathan's disappearance & catch up on their current lives; Clay talks to Dr. Alvarez tries to talk about Sarah; Chris arrives to Chase's loft.
Let it Linger,Perrin Lamb,Skills talks to Chase at TRIC about Lauren; Dr. Alvarez tries to get Clay to talk about Sarah.
Chapel Song,We Are Augustines,Beginning of the episode: Dan attacks someone & Julian asks him about it; Brooke puts up a help wanted sign & Xavier asks her for an application; Clay & Logan fly a toy airplane.
Barrel of Leaves,We Are Augustines,Clay and Logan talk. Clay finds out that Logan's leaving; Brooke tells Julian that Xavier has been let out; Chase talks to Chuck's parents about Chuck's bruises.
Cold Water,Damien Rice,Haley narrates about memories of her and Nathan & what she would do if he died as Quinn takes her to go to the morgue to identify a body who they believe is Nate.
Sorrowing Man,City and Colour,"Julian loses Xavier outside the café; Clay has flashbacks, revealing that Logan is his son; Clay confronts Dr. Alvarez about Logan; Chase is arrested; Clay leaves the clinic and goes home."
Forgiveness,Robin Foster,Brooke tells Haley about Xavier confronting her and what's happened with Dan's lead. Dan tries to get his lead to talk; Clay and Quinn drive home.
Night Out,Promise and the Monster,Beginning of the episode: Dan & Haley talk in his car about Nathan's captors; Chase is taken away in the back of the cop's car.
My Only One,Boy & Bear,Clay looks at a box of things from his past. Plumbers arrive at the café to fix; Brooke goes to confront Tara about the prank and finds Xavier working for her.
Only Now,JBM,Chase looks at his Air Force uniform and tells Chuck's mom that Chuck needs to be out of harm's way. Clay & Quinn talk to Dr. Alvarez.
Remember,Dreamboat Money,Mouth and Skills visit Jimmy's grave.
Last Thing,Matter,Haley goes to the bar to talk to Dan's lead in Nathan's disappearance.
Flying Into Tokyo,Magnetic Man,"Chase talks to Chris about what's going to happen to his position on the Air Force, Chuck and jail. Brooke and Julian talk about Xavier."
Crooked Branches,JBM,Clay talks to Logan outside. Chris goes to talk to Chuck about Chase going to jail.
At the Bonfire,Novosti,Brooke and Julian stalk Xavier; Haley talks to Dan's lead and tries to get him to pick her up.
Housewarming,Lucius,Brooke and Julian find out that Xavier didn't break into the house; Mouth cleans out his fridge; Clay spends time with Logan.
Dark Eyes,The Hangmen,Dan and Haley try to get Dan's lead to talk about Nathan's location; Haley attempts to beat him up before Dan sends her home before he sets a fire.
Music Box: Rock a Bye Baby,Dr. Sound FX,End of the episode: Plays on the twins' mobile while Brooke and Julian are sleeping; Xavier is in the nursery carrying one of the twins.
Forests,JBM,Clay is driving while he has a flashback; Haley watches the video of Nathan; Nathan narrates while he is tied to the chair.
Leave My Body,Florence + the Machine,Clay drives home with Quinn. Dan; Julian and Chris are camped outside a warehouse; Brooke cleans up the café and calls Julian.
Rock-A-Bye-Baby,ilymusic,Brooke walks through a parking garage & feels someone watching her; She gets into an elevator before the doors to the elevator open to reveal Xavier.
Chameleon/Comedian,Kathleen Edwards,"Clay visits Sara's grave to tell her about Logan, Quinn & Nate; Haley watches a video of an old press conference of Nate."
Reset,Lucie Silvas,End montage.
Never Let Me Go,Florence + the Machine,Beginning of the episode: Julian and Nate are getting Dan to the hospital; Brooke hears Julian's dispatch; Haley reunites with Nate.
Stay By Your Side,Waterdeep,Everyone reunites with  Nate; Brooke's dad arrives to her house; Nate gets news about Dan; Jamie and Lydia arrive with Deb.
Vice Verses,Switchfoot,Nathan and Clay talk about being kidnapped and Logan; Haley and Quinn talk; Haley congratulates Clay; Brooke and her dad talk; Nathan sees Lydia walk for the first time.
Emily's Rain,Peter Bradley Adams,Haley explains to Jamie that Dan got hurt saving Nathan; Nathan tells Dan it's all his fault; Dan tells him not to blame himself for what happened nor having to kill to escape.
The Best Thing,Doveman,"Julian reads Lucas' book; Clay watches Nate & Jaime play a game; Brooke, Brooke's dad & Julian talk in the kitchen; Clay tries to see Logan."
Goodbye Goodbye...,Michael Logen,Haley visits Dan; He holds Lydia and Haley promises that she and Nathan will tell her how much Dan loved her and Jamie when she asks about him; Jamie comes into the room and hugs Dan.
I Believe,Brooke Annibale,Dan dreams of telling Nate he's sorry everyday for what he did to Keith; Nate tells Dan that he forgives him because he's his father; Dan & Nate play basketball for fun; Dan flatlines with Nate by him
Us Against the World,Coldplay,Dan dies and sees Keith; Keith tells Dan he's proud he finally learned how to put friends and family first; Dan apologizes and Keith forgives him; Look on at Nate & his family before disappearing.
Changes,Jack Savoretti,Deb visits Dan and Dan asks that she stop blaming herself for Keith; Nathan tells Haley he doesn't know how to deal with losing a parent and Haley tells him that having friends and family close helps.
"The Day Is Long, The Night Is Young",Trent Dabbs,Beginning of the episode: Brooke helps Julian with his script before pitching his idea to a network; Brooke complains about her dad to her mom; Haley prepares her speech.
Stay By Your Side,Cathy Heller,Julian haves trouble with a draft so Brooke gives him her diary; Haley visits Chase at TRIC.
Feeling of Being,Lucy Schwartz,Quinn and Clay show Logan his room; they talk about the ocean; Julian reads an entry in Brooke's diary about her parents.
